open_time,open,high,low,close,volume
2025-01-01T00:00:00+00:00,60000.00,60293.82,59864.92,60195.22,144.4309
2025-01-01T01:00:00+00:00,60195.22,60436.85,60096.71,60315.41,129.3719
2025-01-01T02:00:00+00:00,60315.41,60464.83,60258.80,60392.25,159.6942
2025-01-01T03:00:00+00:00,60392.25,60656.25,60332.15,60590.69,98.3259
2025-01-01T04:00:00+00:00,60590.69,60625.37,60246.30,60305.69,75.7764
2025-01-01T05:00:00+00:00,60305.69,60360.57,60160.51,60337.78,139.2824
2025-01-01T06:00:00+00:00,60337.78,60411.39,60038.76,60083.22,168.4563
2025-01-01T07:00:00+00:00,60083.22,60177.08,60081.33,60127.52,124.6917
2025-01-01T08:00:00+00:00,60127.52,60407.75,60051.40,60353.98,148.9932
2025-01-01T09:00:00+00:00,60353.98,60435.18,60350.92,60422.61,188.3589
2025-01-01T10:00:00+00:00,60422.61,60424.05,60346.26,60378.20,113.6130
2025-01-01T11:00:00+00:00,60378.20,60532.96,60365.99,60495.23,124.0098
2025-01-01T12:00:00+00:00,60495.23,60541.40,60423.88,60445.21,115.1969
2025-01-01T13:00:00+00:00,60445.21,60525.55,60161.36,60243.18,145.9659
2025-01-01T14:00:00+00:00,60243.18,60432.23,60210.76,60329.34,150.5189
2025-01-01T15:00:00+00:00,60329.34,60521.53,60294.90,60514.44,110.9774
2025-01-01T16:00:00+00:00,60514.44,60524.82,60425.40,60507.25,131.0962
2025-01-01T17:00:00+00:00,60507.25,60549.95,60248.29,60458.70,114.5313
2025-01-01T18:00:00+00:00,60458.70,60556.93,60404.53,60481.83,147.7479
2025-01-01T19:00:00+00:00,60481.83,60487.53,60352.18,60487.39,39.2651
2025-01-01T20:00:00+00:00,60487.39,60627.68,59909.26,59955.24,124.1695
2025-01-01T21:00:00+00:00,59955.24,60201.89,59936.56,60199.32,115.5450
2025-01-01T22:00:00+00:00,60199.32,60379.62,60100.32,60317.48,124.3020
2025-01-01T23:00:00+00:00,60317.48,60466.58,60273.25,60403.89,133.3160
2025-01-02T00:00:00+00:00,60403.89,60413.59,60314.36,60382.94,161.9981
2025-01-02T01:00:00+00:00,60382.94,60620.26,60363.58,60550.96,102.2230
2025-01-02T02:00:00+00:00,60550.96,60617.94,60338.93,60358.37,147.7266
2025-01-02T03:00:00+00:00,60358.37,60432.85,60079.31,60134.58,168.2675
