open_time,open,high,low,close,volume
2025-01-01T00:00:00+00:00,60000.00,60013.90,59941.44,59955.29,104.9677
2025-01-01T01:00:00+00:00,59955.29,60033.71,59606.34,59613.01,137.5426
2025-01-01T02:00:00+00:00,59613.01,59639.12,59473.81,59497.47,116.5978
2025-01-01T03:00:00+00:00,59497.47,59566.75,59036.39,59100.33,82.2919
2025-01-01T04:00:00+00:00,59100.33,59353.90,59052.61,59318.10,129.6683
2025-01-01T05:00:00+00:00,59318.10,59331.36,59151.46,59228.92,145.2740
2025-01-01T06:00:00+00:00,59228.92,59268.19,59009.71,59023.39,104.0212
2025-01-01T07:00:00+00:00,59023.39,59043.16,58829.09,58920.40,157.2738
2025-01-01T08:00:00+00:00,58920.40,58959.06,58607.91,58694.65,122.1099
2025-01-01T09:00:00+00:00,58694.65,58805.95,58635.50,58728.21,103.4661
2025-01-01T10:00:00+00:00,58728.21,58773.67,58722.79,58729.31,104.7583
2025-01-01T11:00:00+00:00,58729.31,58807.63,58622.77,58665.35,157.3447
2025-01-01T12:00:00+00:00,58665.35,58682.71,58570.07,58612.19,119.2009
2025-01-01T13:00:00+00:00,58612.19,58749.23,58230.57,58388.51,169.3260
2025-01-01T14:00:00+00:00,58388.51,58628.38,58357.05,58586.27,49.3379
2025-01-01T15:00:00+00:00,58586.27,58641.36,58373.41,58498.72,122.4921
2025-01-01T16:00:00+00:00,58498.72,58582.42,58485.17,58569.38,182.3323
2025-01-01T17:00:00+00:00,58569.38,58876.20,58535.61,58830.76,169.8975
2025-01-01T18:00:00+00:00,58830.76,58900.39,58719.83,58750.48,39.2934
2025-01-01T19:00:00+00:00,58750.48,58887.87,58451.33,58510.68,164.3292
2025-01-01T20:00:00+00:00,58510.68,58512.64,58360.88,58387.62,184.6990
2025-01-01T21:00:00+00:00,58387.62,58481.12,58032.62,58074.65,121.5296
2025-01-01T22:00:00+00:00,58074.65,58107.23,57911.94,57960.07,153.1770
2025-01-01T23:00:00+00:00,57960.07,57993.86,57596.75,57701.29,115.8526
2025-01-02T00:00:00+00:00,57701.29,57735.52,57575.31,57609.65,132.4124
2025-01-02T01:00:00+00:00,57609.65,57618.69,57573.62,57595.01,98.8429
2025-01-02T02:00:00+00:00,57595.01,57633.01,57483.13,57575.69,109.1664
2025-01-02T03:00:00+00:00,57575.69,57608.19,57431.15,57538.31,45.1904
2025-01-02T04:00:00+00:00,57538.31,57632.00,57244.85,57379.05,142.7803
2025-01-02T05:00:00+00:00,57379.05,57658.43,57314.43,57627.32,106.3350
2025-01-02T06:00:00+00:00,57627.32,57676.25,57435.07,57471.42,136.2319
2025-01-02T07:00:00+00:00,57471.42,57663.58,57399.39,57656.41,155.5314
2025-01-02T08:00:00+00:00,57656.41,57889.27,57492.09,57835.42,98.7486
